miRNA,BreastC,BreastC,BreastC,BreastC,BreastC,Control,Control,Control,Control,Control,BreastC,BreastC,HepatocelularC,BreastC,BreastC,ColonC,GallbladderC
hsa-miR-218-5p,0,0,0,1,2,1,0,0,0,5,0,0,2,4,2,0,0
hsa-miR-218-1-3p,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
hsa-miR-218-2-3p,0,0,0,0,1,0,0,0,4,0,0,0,0,0,0,3,0
hsa-miR-219a-5p,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hsa-miR-219a-1-3p,0,0,2,1,4,1,0,6,1,8,2,0,4,5,14,4,8
hsa-miR-221-5p,2,4,36,193,263,13,70,149,62,171,133,29,55,61,115,30,27
hsa-miR-221-3p,63,271,5034,20335,32707,649,26175,22621,20089,34370,25668,7746,18648,28490,38629,23238,8459
hsa-miR-222-5p,0,0,8,6,19,0,10,2,7,18,3,2,7,9,7,0,4
hsa-miR-222-3p,6,8,47,191,305,10,116,190,140,220,203,38,74,165,170,108,63
hsa-miR-223-5p,4,14,394,772,1170,26,556,618,443,1856,637,231,641,783,1532,454,321
hsa-miR-223-3p,115,379,6768,20589,33154,718,23295,23920,24735,74237,24643,9638,22901,29619,33084,18422,12199
hsa-miR-224-5p,22,33,1257,1632,4318,52,1808,2220,3725,2299,1670,1150,4155,2274,7046,2941,973
hsa-miR-224-3p,0,0,0,0,18,0,0,0,0,1,0,1,0,0,0,0,0
hsa-miR-200b-5p,0,0,0,11,30,1,6,3,7,6,17,5,11,23,21,142,26
hsa-miR-200b-3p,0,0,0,8,32,2,8,16,7,23,14,3,7,14,20,89,14
hsa-let-7g-5p,6663,19226,332449,475331,481062,21320,255909,385734,191528,597896,359099,83529,328822,387295,376976,352966,132369
hsa-let-7g-3p,0,0,0,7,23,2,3,2,4,15,0,0,8,1,9,10,2
hsa-let-7i-5p,13422,17535,354770,379587,398538,16482,188426,268760,135631,426979,259378,58598,262636,312282,308006,260839,94433
hsa-let-7i-3p,0,0,9,46,112,1,12,24,25,114,21,22,39,30,38,17,37
hsa-miR-1-3p,4,137,961,8631,3622,28,10076,2498,1641,16120,6508,2081,3028,986,6871,2611,944
hsa-miR-15b-5p,152,820,7182,72338,194869,6916,62779,58951,60011,147055,86544,28470,79278,57953,62260,46951,29433
hsa-miR-15b-3p,1,6,56,609,3090,98,581,485,553,1213,710,196,705,524,501,696,247
hsa-miR-23b-5p,0,1,8,7,10,0,14,5,6,15,6,0,6,8,8,0,14
hsa-miR-23b-3p,15,40,1297,10317,11087,184,8683,13630,12067,28345,8666,3693,6058,9066,8121,4004,2385
hsa-miR-27b-5p,5,3,30,152,237,6,151,153,108,225,168,38,115,181,190,98,54
hsa-miR-27b-3p,21,15,350,1124,2147,34,1916,1677,1731,4134,1644,484,1224,2074,1996,923,457
hsa-miR-30b-5p,3,11,210,1551,1887,70,1122,1621,1637,4215,1252,646,1063,1400,1261,786,413
hsa-miR-30b-3p,6,9,337,387,394,8,465,501,344,843,369,82,426,574,822,512,105
hsa-miR-122-5p,70,743,28814,34418,81916,3871,129204,5026,30967,50557,116957,41909,125100,95251,14670,14008,12172
hsa-miR-122-3p,0,0,0,2,0,0,4,1,14,7,4,2,2,1,0,5,0
hsa-miR-124-5p,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0
hsa-miR-124-3p,2,2,0,12,47,3,8,5,15,26,19,5,15,5,17,0,0
hsa-miR-125b-5p,2,13,64,604,1938,88,757,339,657,1319,1099,354,858,769,671,233,295
hsa-miR-125b-1-3p,2,0,7,10,15,1,13,1,9,13,9,3,3,52,7,4,6
hsa-miR-128-1-5p,0,0,5,33,47,0,14,20,23,48,10,7,14,20,35,0,9
hsa-miR-128-3p,15,65,1403,4691,12288,266,4684,4385,4386,13382,5812,2112,4902,6573,6699,4819,2636
hsa-miR-130a-5p,0,0,4,7,0,0,10,7,1,22,12,7,4,4,6,2,0
hsa-miR-130a-3p,150,452,12455,51406,87702,1528,50089,41884,33072,163276,60617,23568,60198,64212,66288,31381,20829
hsa-miR-132-5p,0,0,0,21,77,1,9,18,16,41,31,7,24,46,36,15,15
hsa-miR-132-3p,0,0,8,46,77,2,28,66,43,63,48,17,15,33,37,9,6
hsa-miR-133a-5p,0,0,0,3,0,0,0,0,0,4,0,0,0,0,2,0,0
hsa-miR-133a-3p,0,0,3,8,14,0,24,0,11,32,21,6,5,2,9,0,3
hsa-miR-135a-5p,0,0,4,10,13,0,8,2,8,6,6,5,1,11,5,0,10
hsa-miR-135a-3p,1,0,4,6,7,0,6,10,4,6,7,3,3,9,5,1,0
hsa-miR-135a-2-3p,0,0,0,0,1,0,0,0,1,1,0,0,0,1,0,2,2
hsa-miR-137-5p,0,0,0,0,12,1,0,0,0,0,0,0,0,0,1,0,0
hsa-miR-137-3p,0,2,1,3,6,2,3,3,2,8,1,1,5,5,2,0,0
hsa-miR-138-5p,1,2,14,70,191,7,20,26,31,93,89,7,25,39,53,11,17
hsa-miR-138-2-3p,0,1,0,8,28,0,1,0,4,1,3,0,5,10,6,13,8
hsa-miR-140-5p,5,6,202,719,842,3,382,674,520,1393,599,219,572,749,558,303,203
hsa-miR-140-3p,8,15,147,496,2354,44,279,263,246,896,378,116,582,301,372,249,186
hsa-miR-141-5p,0,0,0,1,0,2,1,3,0,4,3,0,0,6,5,12,10
