miRNA,advanced adenoma plasma EV 1,advanced adenoma plasma EV 2,advanced adenoma plasma EV 3,advanced adenoma plasma EV 4,advanced adenoma plasma EV 5,advanced adenoma plasma EV 6,colorectal cacer  plasma EV 1,colorectal cacer  plasma EV 2,colorectal cacer  plasma EV 3,colorectal cacer  plasma EV 4,colorectal cacer  plasma EV 5,colorectal cacer  plasma EV 6,healthy donor plasma EV  1,healthy donor plasma EV  2,healthy donor plasma EV  3,healthy donor plasma EV  4,healthy donor plasma EV  5,healthy donor plasma EV  6
hsa-miR-3127-5p,23.5,23.5,23.5,89.0,1.0,23.5,23.5,23.0,8.0,28.0,59.0,23.5,24.0,94.0,23.5,8.0,19.0,23.5
hsa-miR-3138,62.0,30.0,10.0,218.0,100.0,4.0,30.0,27.0,16.0,8.0,14.0,51.0,47.0,52.0,33.0,26.0,73.0,3.0
hsa-miR-3143,19.0,19.0,3.0,73.0,19.0,19.0,19.0,1.0,19.0,4.0,26.0,24.0,29.0,19.0,19.0,2.0,19.0,19.0
hsa-miR-3150a-5p,28.0,15.0,3.0,38.0,15.0,15.0,15.0,10.0,4.0,11.0,36.0,68.0,38.0,40.0,15.0,4.0,1.0,15.0
hsa-miR-3150b-5p,23.0,23.0,6.0,23.0,23.0,63.0,23.0,7.0,4.0,29.0,42.0,2.0,42.0,58.0,23.0,4.0,23.0,23.0
hsa-miR-3155b,19.0,4.0,4.0,4.0,4.0,4.0,4.0,2.0,1.0,4.0,3.0,1.0,9.0,4.0,4.0,4.0,9.0,4.0
hsa-miR-3157-5p,43.0,51.0,11.0,43.0,43.0,43.0,43.0,3.0,5.0,52.0,68.0,43.0,32.0,43.0,43.0,17.0,84.0,43.0
hsa-miR-3158-5p,2698.0,4232.0,678.0,5370.0,1626.0,5162.0,40.0,1318.0,592.0,3006.0,4012.0,14106.0,5798.0,2904.0,3952.0,1872.0,3882.0,114.0
hsa-miR-3173-5p,15.0,27.0,25.0,27.0,27.0,46.0,27.0,19.0,7.0,30.0,17.0,65.0,36.0,85.0,27.0,27.0,27.0,27.0
hsa-miR-3176,27.0,41.0,27.0,22.0,27.0,27.0,27.0,1.0,27.0,7.0,6.0,73.0,57.0,46.0,27.0,9.0,32.0,27.0
hsa-miR-3177-5p,29.0,62.0,14.0,54.0,116.0,28.5,2.0,13.0,17.0,21.0,64.0,28.0,60.0,76.0,28.5,14.0,78.0,7.0
hsa-miR-3187-5p,58.0,62.0,6.0,14.5,14.5,14.5,14.5,5.0,7.0,21.0,28.0,3.0,43.0,17.0,14.5,12.0,12.0,14.5
hsa-miR-3190-3p,13.5,84.0,12.0,13.5,13.5,13.5,13.5,5.0,14.0,13.5,13.0,12.0,23.0,76.0,13.5,8.0,17.0,13.5
hsa-miR-3190-5p,13.5,84.0,12.0,13.5,13.5,13.5,13.5,5.0,14.0,13.5,13.0,12.0,23.0,76.0,13.5,8.0,17.0,13.5
hsa-miR-3198,76.0,49.0,2.0,16.0,16.0,162.0,16.0,2.0,16.0,12.0,10.0,16.0,16.0,16.0,64.0,8.0,20.0,16.0
hsa-miR-3199,37.0,17.0,14.0,51.0,15.5,15.5,15.5,15.5,12.0,5.0,6.0,15.5,14.0,84.0,308.0,15.5,15.5,15.5
hsa-miR-32-5p,58.0,3.0,29.0,60.0,60.0,328.0,5.0,3.0,6.0,29.0,538.0,1419.0,79.0,159.0,60.0,62.0,233.0,60.0
hsa-miR-320a-5p,242621.0,171188.0,82910.0,171188.0,171188.0,214127.0,130.0,170200.0,83562.0,231955.0,389670.0,171188.0,391848.0,338004.0,197618.0,57975.0,157512.0,3742.0
hsa-miR-320b,33392.0,141039.0,6365.0,301016.0,82064.0,91577.0,20.0,12236.0,5947.0,17373.0,32826.0,11105.0,36031.0,109657.0,33803.0,6985.0,17763.0,412.0
hsa-miR-320c,26763.0,46872.0,1702.0,74281.0,26358.0,51436.0,3.0,3321.0,2382.0,5209.0,11629.0,6167.0,14336.0,51389.0,26063.0,4127.0,8264.0,138.0
hsa-miR-320d,21696.0,28470.0,166.0,26496.0,9747.0,12257.0,6904.5,242.0,1119.0,513.0,7211.0,911.0,6598.0,23849.0,9305.0,2088.0,5714.0,6904.5
hsa-miR-320e,828.0,1526.0,203.0,2979.0,679.0,736.0,707.5,389.0,194.0,639.0,926.0,669.0,967.0,959.0,793.0,190.0,338.0,707.5
hsa-miR-323a-5p,24.0,51.0,13.0,312.0,24.0,1.0,24.0,16.0,12.0,15.0,76.0,52.0,24.0,63.0,52.0,19.0,57.0,3.0
hsa-miR-323b-5p,21.0,84.0,31.0,339.0,26.0,26.0,1.0,10.0,13.0,19.0,44.0,231.0,107.0,26.0,26.0,14.0,71.0,7.0
hsa-miR-324-5p,49.0,101.0,16.0,164.0,52.0,148.0,3.0,14.0,11.0,16.0,72.0,52.0,76.0,84.0,52.0,27.0,77.0,52.0
hsa-miR-326,132.0,85.0,47.0,241.0,80.0,238.0,44.0,37.0,32.0,30.0,95.0,1.0,205.0,339.0,85.0,125.0,558.0,50.0
hsa-miR-328-5p,3184.0,1721.0,2403.0,2591.0,1029.0,3422.0,10.0,2281.0,2334.0,2978.0,5803.0,5427.0,8561.0,4866.0,3584.0,2507.0,1124.0,111.0
hsa-miR-329-5p,10.0,10.0,14.0,10.0,2.0,5.0,10.0,14.0,2.0,4.0,42.0,10.0,28.0,2.0,10.0,10.0,128.0,10.0
hsa-miR-330-5p,67.0,243.0,153.0,640.0,2.0,238.0,4.0,312.0,270.0,244.0,244.0,1285.0,420.0,769.0,217.0,312.0,676.0,31.0
hsa-miR-331-5p,149.0,6.0,42.0,116.0,77.0,193.0,4.0,52.0,45.0,66.0,264.0,175.0,252.0,123.0,77.0,59.0,167.0,12.0
hsa-miR-335-5p,47.0,121.0,71.0,297.0,2.0,149.0,13.0,54.0,50.0,133.0,573.0,1853.0,74.0,139.0,217.0,75.0,125.0,28.0
hsa-miR-338-5p,1.0,157.0,23.0,106.5,245.0,106.5,106.5,32.0,30.0,106.0,318.0,254.0,107.0,266.0,106.5,73.0,156.0,15.0
hsa-miR-339-5p,433.0,816.0,276.0,996.0,148.0,786.0,18.0,372.0,252.0,772.0,1398.0,334.0,1485.0,2219.0,553.0,612.0,2865.0,54.0
hsa-miR-340-5p,159.0,376.0,145.0,133.0,293.0,448.0,24.0,82.0,86.0,262.0,1126.0,5836.0,256.0,532.0,265.0,229.0,629.0,28.0
hsa-miR-342-5p,1198.0,1742.0,356.0,1613.0,1287.0,700.0,41.0,678.0,444.0,517.0,2206.0,3213.0,1904.0,2790.0,803.0,1219.0,4594.0,1219.0
hsa-miR-345-5p,332.0,277.0,89.0,379.0,156.0,545.0,4.0,110.0,55.0,403.0,839.0,208.0,749.0,1351.0,241.0,238.0,1492.0,32.0
hsa-miR-3605-5p,156.0,24.0,72.0,63.0,82.0,72.0,72.0,72.0,72.0,72.0,72.0,246.0,72.0,72.0,17.0,17.0,82.0,72.0
hsa-miR-361-5p,352.0,1173.0,278.0,1305.0,565.0,178.0,618.5,450.0,352.0,672.0,1924.0,4834.0,480.0,1549.0,319.0,823.0,2821.0,618.5
hsa-miR-3615,13750.0,8530.0,1672.0,8114.0,958.0,5211.0,8.0,3468.0,1056.0,9075.0,12823.0,7038.0,14360.0,13451.0,4243.0,2503.0,8076.0,159.0
hsa-miR-363-5p,2231.0,2470.0,750.0,1555.0,679.0,2554.0,19.0,841.0,332.0,3592.0,7816.0,7035.0,4598.0,5044.0,799.0,1238.0,8313.0,314.0
hsa-miR-365b-5p,10.0,10.0,1.0,32.0,10.0,4.0,10.0,10.0,2.0,20.0,61.0,1.0,12.0,10.0,10.0,8.0,12.0,10.0
hsa-miR-3679-5p,7.0,11.0,2.0,66.0,11.0,11.0,11.0,7.0,4.0,9.0,11.0,156.0,17.0,15.0,91.0,3.0,84.0,11.0
hsa-miR-369-5p,23.0,16.0,9.0,113.0,11.0,5.0,2.0,3.0,3.0,8.0,13.0,141.0,11.0,39.0,11.0,8.0,37.0,11.0
hsa-miR-3691-5p,12.5,54.0,2.0,68.0,12.5,12.5,12.5,1.0,3.0,12.5,16.0,12.5,21.0,12.5,24.0,12.5,9.0,2.0
hsa-miR-370-5p,30.0,1536.0,172.0,16132.0,357.0,226.0,31.0,234.0,935.0,213.0,190.0,759.0,688.0,1091.0,1306.0,804.0,1394.0,15.0
hsa-miR-374a-5p,10.0,18.0,9.0,15.0,18.0,18.0,18.0,12.0,8.0,20.0,111.0,473.0,31.0,132.0,85.0,15.0,42.0,12.0
hsa-miR-374b-5p,15.0,26.0,1.0,15.0,1.0,10.0,19.0,1.0,4.0,21.0,15.0,89.0,22.0,32.0,15.0,12.0,19.0,4.0
hsa-miR-375-5p,1736.0,770.0,458.0,1641.0,1241.0,2675.0,1037.0,283.0,121.0,1037.0,3007.0,1319.0,1035.0,2246.0,407.0,912.0,1249.0,3.0
hsa-miR-378a-5p,24319.0,17850.0,3209.0,40817.0,7324.0,10313.0,53.0,6076.0,3234.0,20076.0,30319.0,6524.0,28914.0,59324.0,19099.0,6859.0,35287.0,505.0
hsa-miR-378e,32.0,4.0,1.0,5.0,1.0,1.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,35.0,3.0,3.0,37.0,3.0
hsa-miR-378i,1794.0,1163.0,146.0,2706.0,534.0,618.0,1258.5,343.0,219.0,1354.0,2088.0,165.0,1989.0,3817.0,1996.0,466.0,2473.0,1258.5
hsa-miR-379-5p,38.0,54.0,5.0,274.0,72.0,9.0,9.0,4.0,52.0,19.0,43.0,652.0,27.0,45.0,38.0,33.0,56.0,6.0
hsa-miR-381-5p,1.0,27.0,53.0,701.0,87.5,17.0,20.0,29.0,61.0,124.0,446.0,1070.0,114.0,147.0,87.5,242.0,609.0,13.0
hsa-miR-382-5p,146.0,557.0,238.0,3027.0,10.0,103.0,1.0,131.0,272.0,99.0,481.0,689.0,341.0,157.0,91.0,338.0,621.0,10.0
hsa-miR-3909,35.0,14.0,10.0,14.0,1.0,14.0,14.0,14.0,2.0,32.0,118.0,26.0,45.0,4.0,14.0,14.0,82.0,3.0
hsa-miR-3913-5p,328.0,130.0,52.0,340.0,2.0,148.0,148.0,46.0,148.0,118.0,446.0,198.0,182.0,166.0,148.0,128.0,426.0,32.0
hsa-miR-3928-5p,19.0,11.0,3.0,183.0,1.0,11.0,1.0,11.0,12.0,15.0,11.0,1.0,42.0,11.0,11.0,11.0,11.0,3.0
hsa-miR-409-5p,722.0,1250.0,1439.0,11086.0,963.0,676.0,7.0,1108.0,1800.0,950.0,1051.0,1727.0,1986.0,1234.0,1532.0,1755.0,1795.0,22.0
hsa-miR-411-5p,7.5,7.5,7.0,7.5,7.5,3.0,3.0,8.0,4.0,3.0,39.0,39.0,23.0,7.5,7.5,14.0,56.0,6.0
hsa-miR-412-5p,3.0,3.0,3.0,3.0,3.0,1.0,3.0,3.0,2.0,10.0,50.0,2.0,32.0,3.0,2.0,5.0,21.0,3.0
hsa-miR-421,72.0,40.0,20.0,38.5,38.5,38.5,5.0,25.0,1.0,50.0,173.0,273.0,37.0,40.0,38.5,13.0,67.0,3.0
hsa-miR-423-5p,994275.0,391043.0,65381.0,782532.0,162896.0,641450.0,591.0,117587.0,46023.0,175137.0,236660.0,85889.0,395412.0,560775.0,388338.0,193207.0,558014.0,10290.0
hsa-miR-424-5p,341.0,253.0,87.0,341.0,157.0,481.0,341.0,125.0,16.0,592.0,1856.0,761.0,765.0,486.0,341.0,221.0,857.0,22.0
hsa-miR-431-5p,29.5,41.0,14.0,29.5,29.5,92.0,29.5,29.5,21.0,13.0,8.0,218.0,29.0,81.0,29.5,30.0,82.0,2.0
hsa-miR-432-5p,120.0,455.0,221.0,2655.0,362.0,522.0,5.0,393.0,931.0,113.0,236.0,1559.0,421.0,287.0,235.0,373.0,454.0,373.0
hsa-miR-433-5p,20.0,124.0,38.0,569.0,121.0,2.0,2.0,45.0,39.0,30.0,62.0,72.0,64.0,41.0,52.5,60.0,137.0,52.5
hsa-miR-4429,172.0,340.0,40.0,640.0,169.0,150.0,156.0,75.0,33.0,82.0,188.0,19.0,242.0,280.0,162.0,24.0,81.0,156.0
hsa-miR-4433b-3p,2033.0,1857.0,205.0,3985.0,568.0,13751.0,1093.5,408.0,516.0,271.0,284.0,236.0,938.0,1846.0,5323.0,1249.0,5462.0,1093.5
hsa-miR-4433b-5p,2084.0,1905.0,382.0,4220.0,568.0,14011.0,39.0,497.0,642.0,350.0,331.0,1105.0,1105.0,1938.0,5572.0,1326.0,5708.0,62.0
hsa-miR-4440,340.0,195.0,40.0,40.0,40.0,40.0,40.0,30.0,40.0,115.0,85.0,10.0,40.0,40.0,40.0,10.0,35.0,40.0
hsa-miR-4446-5p,106.0,238.0,72.0,529.0,140.0,2.0,144.0,213.0,138.0,64.0,79.0,650.0,176.0,519.0,144.0,210.0,389.0,4.0
hsa-miR-4470,7.5,7.5,1.0,41.0,7.5,1.0,7.5,7.5,4.0,28.0,6.0,1.0,28.0,7.5,7.5,9.0,15.0,7.5
hsa-miR-4489,69.0,69.0,37.0,20.0,37.0,247.0,37.0,11.0,2.0,21.0,16.0,115.0,37.0,47.0,37.0,8.0,40.0,37.0
hsa-miR-450a-5p,85.0,85.0,16.0,85.0,85.0,6.0,3.0,12.0,3.0,85.0,338.0,146.0,96.0,399.0,85.0,102.0,368.0,34.0
hsa-miR-452-5p,15.0,236.0,55.5,204.0,55.5,55.5,1.0,55.5,28.0,55.5,769.0,137.0,55.5,83.0,12.0,55.5,55.5,8.0
hsa-miR-4525,8.0,126.0,4.0,124.0,2.0,8.0,8.0,2.0,8.0,8.0,8.0,8.0,8.0,44.0,166.0,4.0,8.0,8.0
hsa-miR-455-5p,19.0,19.0,9.0,19.0,19.0,7.0,19.0,19.0,1.0,59.0,571.0,1.0,6.0,19.0,135.0,29.0,66.0,19.0
hsa-miR-4661-5p,25.5,68.0,4.0,114.0,25.5,173.0,25.5,6.0,1.0,29.0,40.0,1.0,33.0,25.5,25.5,10.0,22.0,25.5
hsa-miR-4665-5p,17.0,179.0,9.0,16.0,2.0,87.0,1.0,15.0,22.0,17.0,15.0,17.0,80.0,107.0,4.0,25.0,18.0,17.0
hsa-miR-4667-5p,55.0,16.0,1.0,16.0,58.0,16.0,16.0,16.0,16.0,2.0,8.0,16.0,14.0,26.0,24.0,2.0,18.0,16.0
hsa-miR-4677-5p,20.0,20.0,10.0,20.0,20.0,20.0,20.0,14.0,20.0,14.0,42.0,360.0,24.0,20.0,20.0,12.0,66.0,20.0
hsa-miR-4732-5p,3417.0,1160.5,1160.5,995.0,600.0,3300.0,1160.5,1074.0,1160.5,1612.0,2616.0,1160.5,1160.5,1160.5,1247.0,1160.5,1033.0,17.0
hsa-miR-4738-5p,19.0,18.5,4.0,18.5,64.0,18.5,18.5,18.5,3.0,8.0,35.0,18.5,18.0,53.0,18.5,4.0,19.0,18.5
hsa-miR-4742-5p,14.0,46.0,14.0,14.0,14.0,14.0,14.0,12.0,3.0,12.0,29.0,92.0,27.0,14.0,14.0,14.0,8.0,14.0
hsa-miR-4743-5p,12.0,64.0,2.0,92.0,12.0,12.0,12.0,2.0,12.0,8.0,20.0,12.0,12.0,12.0,12.0,4.0,30.0,12.0
hsa-miR-4746-5p,11.0,96.0,12.0,57.0,57.0,305.0,57.0,42.0,5.0,60.0,101.0,57.0,106.0,28.0,57.0,12.0,96.0,57.0
hsa-miR-4750-5p,41.0,113.0,5.0,69.0,14.5,177.0,14.5,1.0,11.0,14.5,22.0,1.0,18.0,14.5,14.5,9.0,5.0,14.5
hsa-miR-4755-5p,30.0,270.0,2.0,132.0,78.0,55.0,55.0,55.0,14.0,32.0,160.0,2.0,20.0,184.0,58.0,39.0,83.0,55.0
hsa-miR-483-5p,1965.0,2309.0,72.0,3399.0,3509.0,697.0,602.5,66.0,63.0,160.0,433.0,425.0,508.0,4590.0,1104.0,351.0,1101.0,602.5
hsa-miR-484,4082.0,2704.0,2286.0,3536.0,1556.0,9078.0,36.0,2250.0,568.0,4458.0,14180.0,2662.0,10740.0,7298.0,2538.0,2382.0,8146.0,370.0
hsa-miR-485-5p,89.0,463.0,172.0,1135.0,7.0,253.0,2.0,164.0,203.0,136.0,446.0,62.0,316.0,431.0,77.0,223.0,228.0,203.0
hsa-miR-486-5p,2363764.0,959550.0,699931.0,1564193.0,474452.0,3005301.0,431.0,1345037.0,351964.0,1988137.0,2877865.0,1536393.0,3218151.0,1109748.0,761772.0,606730.0,1298594.0,26432.0
hsa-miR-487a-5p,7.0,38.0,7.0,79.0,7.0,7.0,7.0,7.0,2.0,8.0,7.0,7.0,7.0,15.0,7.0,3.0,2.0,7.0
hsa-miR-491-5p,45.0,8.0,3.0,99.0,90.0,8.0,3.0,1.0,10.0,3.0,6.0,8.0,8.0,28.0,8.0,2.0,13.0,8.0
hsa-miR-493-5p,17.0,267.0,51.0,912.0,64.0,37.0,16.0,34.0,262.0,39.0,88.0,2164.0,102.0,212.0,114.0,159.0,431.0,11.0
hsa-miR-495-5p,16.0,57.0,6.0,8.0,16.0,10.0,9.0,16.0,16.0,17.0,89.0,1337.0,16.0,9.0,16.0,10.0,97.0,16.0
hsa-miR-499a-5p,57.5,57.5,7.0,78.0,57.5,57.5,57.5,1.0,1.0,163.0,1070.0,638.0,37.0,57.5,57.5,20.0,111.0,57.5
hsa-miR-500a-5p,82.0,128.0,25.0,324.0,1.0,82.0,1.0,20.0,20.0,153.0,467.0,151.0,413.0,355.0,13.0,63.0,328.0,23.0
hsa-miR-501-5p,920.0,1268.0,210.0,1568.0,141.0,894.0,894.0,393.0,138.0,1117.0,2514.0,422.0,3049.0,2844.0,725.0,566.0,2231.0,43.0
hsa-miR-502-5p,44.0,167.0,28.0,257.0,1.0,144.0,1.0,21.0,21.0,175.0,482.0,240.0,353.0,323.0,25.0,53.0,317.0,23.0
hsa-miR-503-5p,26.0,55.0,14.0,105.0,136.0,168.0,87.0,14.0,2.0,117.0,352.0,87.0,98.0,64.0,87.0,44.0,236.0,87.0
hsa-miR-504-5p,16.0,31.0,16.0,16.0,16.0,134.0,16.0,2.0,3.0,3.0,16.0,16.0,23.0,38.0,16.0,10.0,16.0,16.0
hsa-miR-505-5p,164.0,245.0,55.0,246.0,282.0,162.0,5.0,100.0,61.0,119.0,287.0,1057.0,273.0,128.0,203.0,87.0,218.0,16.0
hsa-miR-511-5p,128.0,756.0,60.0,96.0,890.0,24.0,6.0,36.0,44.0,772.0,2692.0,2256.0,344.0,898.0,84.0,199.0,300.0,12.0
hsa-miR-5189-5p,40.0,73.0,3.0,107.0,40.0,1.0,40.0,25.0,18.0,2.0,60.0,100.0,40.0,90.0,40.0,12.0,51.0,40.0
hsa-miR-532-5p,869.0,1335.0,783.0,1338.0,328.0,1842.0,16.0,731.0,208.0,3448.0,9705.0,1055.0,4806.0,2802.0,1055.0,1664.0,5262.0,152.0
hsa-miR-542-5p,31.5,95.0,3.0,46.0,31.5,31.5,31.5,8.0,31.5,6.0,55.0,39.0,31.5,24.0,31.5,2.0,51.0,31.5
hsa-miR-543,681.0,349.0,509.0,1757.0,63.0,372.0,3.0,714.0,560.0,522.0,952.0,4174.0,768.0,697.0,371.0,669.0,970.0,6.0
hsa-miR-548au-5p,139.0,126.0,39.0,126.0,126.0,126.0,1.0,39.0,24.0,113.0,267.0,1158.0,152.0,156.0,126.0,126.0,211.0,14.0
hsa-miR-548av-5p,45.0,81.0,29.0,45.0,45.0,45.0,4.0,20.0,4.0,39.0,124.0,114.0,280.0,128.0,45.0,45.0,125.0,24.0
hsa-miR-548e-5p,21.0,7.0,2.0,89.0,21.0,21.0,21.0,21.0,1.0,21.0,37.0,21.0,21.0,30.0,21.0,9.0,62.0,21.0
hsa-miR-548j-3p,12.0,12.0,3.0,39.0,12.0,12.0,12.0,13.0,1.0,5.0,9.0,496.0,12.0,12.0,12.0,12.0,31.0,12.0
hsa-miR-550a-3-5p,551.0,370.0,250.0,1822.0,527.5,504.0,527.5,320.0,198.0,967.0,2205.0,628.0,1334.0,703.0,328.0,296.0,884.0,15.0
hsa-miR-550b-2-5p,87.0,75.0,18.0,15.0,18.0,18.0,18.0,6.0,6.0,18.0,18.0,18.0,21.0,18.0,18.0,18.0,48.0,18.0
hsa-miR-574-5p,21.0,43.0,10.0,135.0,49.0,5.0,1.0,21.0,103.0,81.0,226.0,593.0,36.0,79.0,49.0,55.0,130.0,9.0
hsa-miR-579-5p,5.0,5.0,3.0,88.0,5.0,5.0,5.0,4.0,5.0,7.0,3.0,5.0,12.0,28.0,5.0,1.0,5.0,5.0
hsa-miR-582-5p,83.5,83.5,83.5,52.0,83.5,83.5,1.0,83.5,83.5,122.0,226.0,115.0,12.0,173.0,43.0,14.0,178.0,83.5
hsa-miR-584-5p,355.0,1356.0,519.0,1466.0,324.0,1371.0,15.0,434.0,460.0,577.0,4062.0,2268.0,1669.0,888.0,538.0,852.0,2185.0,54.0
hsa-miR-589-5p,51.0,111.0,28.0,143.0,92.0,92.0,1.0,63.0,53.0,91.0,201.0,93.0,259.0,136.0,131.0,60.0,323.0,7.0
hsa-miR-597-5p,38.0,23.0,12.0,23.0,23.0,23.0,23.0,14.0,14.0,30.0,12.0,23.0,30.0,58.0,23.0,16.0,48.0,23.0
hsa-miR-610,84.0,18.0,38.0,63.5,63.5,63.5,63.5,59.0,15.0,133.0,68.0,63.5,76.0,111.0,174.0,13.0,48.0,63.5
hsa-miR-615-5p,69.0,31.0,21.0,46.0,72.0,193.0,33.0,9.0,10.0,101.0,847.0,7.0,72.0,23.0,1.0,35.0,6.0,33.0
hsa-miR-619-5p,20.0,52.0,4.0,16.0,53.0,128.0,15.0,2.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,3.0,16.0,16.0
hsa-miR-625-5p,128.0,192.0,314.0,888.0,466.0,2054.0,20.0,1488.0,258.0,350.0,1416.0,1042.0,1184.0,1588.0,230.0,570.0,234.0,68.0
hsa-miR-628-5p,35.0,60.0,16.0,45.0,43.5,117.0,43.5,16.0,27.0,22.0,104.0,409.0,42.0,64.0,43.5,18.0,66.0,43.5
hsa-miR-629-5p,7798.0,6731.0,1217.0,10398.0,1102.0,2197.0,6.0,2656.0,1136.0,4962.0,15684.0,976.0,10013.0,11259.0,2980.0,2192.0,8235.0,167.0
hsa-miR-636,39.0,39.0,9.0,82.0,45.0,103.0,39.0,20.0,3.0,65.0,62.0,4.0,110.0,33.0,12.0,16.0,45.0,39.0
hsa-miR-641,8.0,8.0,3.0,8.0,8.0,8.0,5.0,9.0,4.0,7.0,22.0,165.0,14.0,40.0,8.0,7.0,20.0,4.0
hsa-miR-642a-5p,134.0,171.0,12.0,293.0,253.0,183.0,117.0,13.0,27.0,50.0,132.0,94.0,102.0,514.0,429.0,26.0,71.0,117.0
hsa-miR-642b-5p,1.0,1.0,2.0,3.0,2.0,4.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,10.0,1.0,3.0,2.0,2.0
hsa-miR-6501-5p,39.0,6.0,2.0,6.0,6.0,6.0,6.0,1.0,1.0,6.0,10.0,1.0,11.0,44.0,6.0,1.0,16.0,6.0
hsa-miR-6515-5p,19.0,7.0,11.0,19.0,19.0,72.0,19.0,19.0,11.0,10.0,27.0,163.0,19.0,55.0,19.0,6.0,54.0,19.0
hsa-miR-6516-5p,21.0,21.0,12.0,21.0,21.0,21.0,21.0,10.0,26.0,14.0,10.0,200.0,30.0,32.0,21.0,16.0,68.0,21.0
hsa-miR-652-5p,61.0,658.0,39.0,523.0,245.0,117.0,5.0,53.0,146.0,59.0,325.0,140.0,125.0,332.0,23.0,197.0,1142.0,19.0
hsa-miR-654-5p,63.0,119.0,120.0,939.0,120.0,110.0,5.0,97.0,105.0,124.0,244.0,821.0,164.0,162.0,35.0,243.0,530.0,5.0
hsa-miR-659-5p,19.0,25.5,8.0,25.5,1.0,60.0,25.5,3.0,5.0,44.0,23.0,51.0,28.0,29.0,153.0,3.0,42.0,25.5
hsa-miR-660-5p,129.0,74.0,134.0,122.0,300.0,1.0,6.0,206.0,62.0,556.0,1331.0,12.0,790.0,697.0,17.0,177.0,705.0,62.0
hsa-miR-664a-5p,59.0,579.0,84.0,712.0,67.0,131.0,3.0,88.0,109.0,107.0,645.0,1560.0,183.0,436.0,24.0,80.0,204.0,109.0
hsa-miR-664b-5p,48.0,13.0,1.0,13.0,13.0,13.0,13.0,13.0,13.0,3.0,13.0,29.0,13.0,45.0,3.0,8.0,22.0,13.0
hsa-miR-671-5p,135.0,240.0,94.0,476.0,134.0,121.0,178.0,179.0,205.0,122.0,85.0,177.0,380.0,252.0,476.0,131.0,211.0,178.0
hsa-miR-6734-5p,47.0,37.0,5.0,38.0,34.5,34.5,34.5,2.0,9.0,20.0,13.0,37.0,34.0,1.0,56.0,35.0,82.0,34.5
hsa-miR-6735-5p,26.0,68.0,9.0,47.0,47.0,72.0,47.0,23.0,47.0,47.0,47.0,47.0,50.0,91.0,47.0,2.0,47.0,47.0
hsa-miR-6741-5p,66.0,229.0,51.0,52.5,52.5,123.0,52.5,44.0,54.0,40.0,62.0,200.0,44.0,31.0,17.0,35.0,95.0,52.5
hsa-miR-6750-5p,9.0,54.0,3.0,9.0,9.0,9.0,9.0,8.0,9.0,5.0,10.0,45.0,6.0,16.0,9.0,4.0,17.0,9.0
hsa-miR-6758-5p,5.0,1.0,2.0,5.0,5.0,74.0,5.0,5.0,4.0,7.0,21.0,5.0,5.0,5.0,5.0,1.0,15.0,5.0
hsa-miR-6781-5p,28.0,28.0,10.0,28.0,28.0,28.0,28.0,14.0,4.0,20.0,40.0,28.0,66.0,28.0,60.0,28.0,58.0,28.0
hsa-miR-6805-5p,22.5,22.5,4.0,28.0,22.5,22.5,22.5,22.5,2.0,5.0,25.0,73.0,21.0,22.5,99.0,8.0,24.0,22.5
hsa-miR-6808-5p,7.0,7.0,5.0,7.0,7.0,2.0,7.0,5.0,1.0,15.0,18.0,18.0,13.0,7.0,7.0,9.0,2.0,7.0
hsa-miR-6815-5p,96.0,12.0,10.0,40.0,40.0,40.0,40.0,28.0,8.0,20.0,70.0,40.0,134.0,112.0,108.0,30.0,50.0,40.0
hsa-miR-6842-3p,292.0,123.0,117.0,504.0,250.0,157.0,1.0,156.0,189.0,148.0,255.0,553.0,320.0,489.0,278.0,250.0,743.0,7.0
hsa-miR-6850-5p,19.0,94.0,7.0,142.0,19.0,19.0,19.0,13.0,1.0,10.0,43.0,19.0,19.0,42.0,43.0,9.0,27.0,2.0
hsa-miR-6852-5p,56.0,85.0,10.0,62.0,56.0,7.0,6.0,50.0,145.0,14.0,70.0,2.0,150.0,45.0,56.0,64.0,348.0,56.0
hsa-miR-6855-5p,17.0,2.0,17.0,67.0,17.0,17.0,17.0,2.0,17.0,7.0,17.0,54.0,19.0,35.0,17.0,17.0,17.0,17.0
hsa-miR-6866-5p,9.0,9.0,4.0,9.0,9.0,9.0,9.0,8.0,3.0,10.0,41.0,68.0,12.0,9.0,9.0,5.0,9.0,9.0
hsa-miR-6877-5p,63.0,266.0,5.0,148.0,105.0,38.0,1.0,22.0,10.0,25.0,39.0,38.0,89.0,45.0,38.0,13.0,38.0,2.0
hsa-miR-7-5p,1272.0,2704.0,2484.0,1528.0,1580.0,2484.0,120.0,2237.0,1483.0,4709.0,14225.0,12700.0,9840.0,5805.0,1052.0,3172.0,7976.0,424.0
hsa-miR-7110-3p,8.5,32.0,2.0,8.5,8.5,8.5,8.5,6.0,11.0,2.0,4.0,22.0,20.0,36.0,8.5,8.5,3.0,8.5
hsa-miR-758-5p,10.0,10.0,7.0,49.0,10.0,1.0,3.0,4.0,35.0,5.0,4.0,27.0,13.0,10.0,10.0,21.0,36.0,10.0
