Type,BreastC,BreastC,BreastC,BreastC,BreastC,BreastC,BreastC,BreastC,BreastC,BreastC,BreastC,Control,Control,Control,Control,Control,Control,Control,BreastC,BreastC,HepatocelularC,BreastC,BreastC,ColonC,GallbladderC
Sample_id,KS0001,KS0002,KS0003,KS0004,KS0005,KS0007_scarce,KS0008_scarce,KS0009,KS0010,KS0011,KS0012,KS0013,KS0014,KS0016_Lowqual,KS0017_Lowqual,KS0019,KS0021,KS0022,KS0023,KS0024,KS0025,KS0026,KS0027,KS0028,KS0029
hsa-miR-30c-2-3p,52,81,16,78,22,0,0,21,27,2,65,2,15,0,10,15,2,44,24,5,15,37,68,31,0
hsa-miR-30d-5p,34347,39663,14848,51099,18351,85,316,4222,12571,433,33359,760,7873,1711,2174,8011,7425,26650,15569,5384,16843,11529,17419,6746,4421
hsa-miR-30d-3p,262,541,152,573,137,1,1,23,44,3,84,4,63,13,16,42,53,264,92,32,78,173,137,68,43
hsa-miR-139-5p,46703,117793,22054,129455,23473,219,429,5371,12323,893,28286,488,13883,2472,4680,11574,12336,29058,14782,6877,13010,16554,21616,20939,7020
hsa-miR-139-3p,2361,6557,905,7329,1051,13,36,1048,1083,73,2061,27,1057,76,260,731,643,1612,748,244,716,871,1736,1387,298
hsa-miR-147a,0,0,19,9,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0
hsa-miR-7-5p,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hsa-miR-7-1-3p,160,291,102,440,63,0,2,10,111,5,128,2,78,19,24,80,89,269,51,33,49,86,71,77,34
hsa-miR-7-2-3p,2,2,0,5,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0
hsa-miR-10a-5p,12438,13624,8046,24309,9004,40,308,3652,6773,347,16570,297,4122,597,1223,5378,3295,9638,6803,2399,6146,7065,9006,6341,3310
hsa-miR-10a-3p,350,360,158,370,148,0,0,14,101,8,294,2,111,9,22,102,82,184,130,48,122,118,201,258,67
hsa-miR-10b-5p,3619,4549,4856,11072,5988,0,54,358,1607,162,15668,235,1451,356,492,632,1491,3233,3313,1373,3223,1894,4525,744,1918
hsa-miR-10b-3p,56,75,48,133,85,0,2,5,30,3,352,9,20,0,7,3,27,55,37,26,30,26,91,32,38
hsa-miR-34a-5p,5452,11154,4381,85483,3577,2,31,255,1606,117,9671,86,1863,332,245,280,417,2047,5999,1623,2206,3848,5319,1520,1392
hsa-miR-34a-3p,3,4,0,4,0,0,0,0,0,0,0,0,3,0,0,0,0,1,0,0,0,0,0,0,0
hsa-miR-181a-5p,12670,18952,16705,22327,9027,219,456,12250,9653,692,17149,539,19159,2178,1593,20319,12088,7733,16050,2991,6856,9740,20594,5660,2491
hsa-miR-181a-2-3p,1902,3440,1364,3909,1255,21,49,726,1317,89,1303,45,603,143,322,824,622,1425,954,253,864,1193,1428,586,342
hsa-miR-181b-5p,1069,1759,1723,2420,1152,46,62,819,1082,101,2198,70,1492,151,226,1666,1110,616,1922,289,534,740,1581,605,288
hsa-miR-181b-3p,14,20,2,22,9,0,0,0,6,0,3,0,1,0,0,3,1,6,4,4,6,1,1,0,0
hsa-miR-181c-5p,99,120,53,116,110,4,4,99,161,7,235,4,185,59,16,176,157,177,209,48,67,136,167,67,24
hsa-miR-181c-3p,350,495,304,393,171,1,11,118,358,15,222,4,72,50,40,132,81,293,186,58,97,165,192,41,48
hsa-miR-182-5p,3874,4330,2591,12938,5308,14,62,203,913,28,8043,256,1340,299,193,1012,1248,2563,3958,536,2561,1340,982,5931,1252
hsa-miR-182-3p,0,0,20,4,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
hsa-miR-183-5p,908,750,452,3371,1349,0,15,24,189,7,2928,96,177,119,43,57,173,242,782,73,525,253,221,1175,162
hsa-miR-183-3p,185,184,130,776,235,0,6,8,32,2,738,12,25,9,8,5,36,88,161,7,176,98,53,199,45
hsa-miR-187-5p,0,0,0,0,0,0,0,6,1,0,6,0,0,0,0,0,0,0,0,2,0,0,0,0,0
hsa-miR-187-3p,59,123,40,135,25,1,0,16,12,1,37,1,10,2,3,15,8,28,6,6,28,18,45,17,0
hsa-miR-196a-3p,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hsa-miR-199b-5p,354,672,212,909,341,0,0,19,138,8,211,9,111,32,32,102,51,283,116,33,112,72,137,64,61
hsa-miR-199b-3p,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hsa-miR-203a-5p,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hsa-miR-203a-3p,1,0,6,5,0,0,0,0,0,0,0,0,4,0,0,1,4,9,0,0,4,0,1,15,2
hsa-miR-204-5p,15,35,29,48,16,0,0,2,30,1,59,3,13,0,0,11,13,18,15,10,3,9,57,13,0
hsa-miR-204-3p,39,45,42,85,41,0,0,3,47,3,153,5,24,0,4,13,24,27,56,6,35,19,104,47,0
hsa-miR-205-5p,103,164,1367,638,122,0,3,16,74,7,398,9,47,35,22,28,55,106,83,33,85,38,144,21,37
